PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
4,6.04,3.97,0.69,0.29,138,39.0,66.0,d,e/u,d,e/u,"1977.09, 175.91","2875.56, 195.56",61.0,11.91332962,0.71884,0.818748,1,0.075
0,7.42,2.81,0.72,0.16,232,78.0,76.0,d,e/u,d,e/u,"314.92, 157.46","2292.61, 482.03",42.0,11.31399812,0.0,0.0981446,0,0.3537
0,7.42,2.81,0.72,0.16,694,78.0,76.0,d,e/u,d,e/u,"2011.81, 315.73","2292.61, 482.03",42.0,11.45020851,0.0,0.0981446,0,0.6274
5,5.03,2.14,0.74,0.25,428,43.0,56.0,d,e/u,d,e/u,"2830.16, 196.56","2851.44, 198.07",66.0,11.87175845,1.0,1.0,1,0.0
0,7.44,2.48,0.71,0.13,167,51.0,98.0,d,e/u,d,e/u,"1125.36, 176.85","3108.03, 421.63",58.0,11.80522631,0.0,0.0981446,0,0.5829
1,5.86,3.32,0.61,0.16,290,54.0,38.0,d,e/u,d,e/u,"821.47, 185.73","4445.72, 743.68",72.0,12.06148302,0.0,0.0981446,0,0.0363
1,5.9,3.15,0.65,0.23,135,96.0,30.0,d,e/u,d,e/u,"537.90, 195.31","1371.80, 217.54",95.0,12.28256139,0.0,0.0981446,0,0.4386
0,6.7,3.12,0.73,0.3,135,39.0,40.0,d,e/u,d,e/u,"2016.60, 417.93","1559.79, 221.11",80.0,12.20201329,0.0,0.0981446,0,0.0
5,6.21,3.36,0.62,0.2,1,51.0,64.0,d,e/u,d,e/u,"2672.00, 192.59","2857.59, 200.51",78.0,11.50954493,1.0,1.0,1,0.0
5,6.87,3.35,0.59,0.3,170,59.0,59.0,d,e/u,d,e/u,"2770.91, 190.56","2876.20, 198.24",76.0,12.19912448,1.0,1.0,1,0.0
0,5.05,3.94,0.65,0.34,274,64.0,53.0,d,e/u,d,e/u,"1531.03, 480.75","297.23, 200.72",91.0,11.55411329,0.901855,1.0,1,0.0484
5,6.01,3.44,0.77,0.24,183,46.0,80.0,d,e/u,d,e/u,"2692.30, 177.57","2868.00, 193.51",40.0,11.68118876,1.0,1.0,1,0.0
3,5.71,4.34,0.66,0.26,98,28.0,67.0,d,e/u,d,e/u,"465.57, 182.00","2932.81, 195.54",42.0,12.31120974,0.0,0.0981446,0,0.0254
0,5.59,4.24,0.51,0.32,336,75.0,87.0,d,e/u,d,e/u,"1972.40, 260.47","1597.98, 306.47",53.0,11.40078403,0.0,0.0981446,0,0.9846
0,6.39,3.21,0.61,0.27,242,90.0,78.0,d,e/u,d,e/u,"326.88, 162.15","4004.57, 246.63",75.0,11.7095537,0.000468738,0.0989152,0,0.3848
0,5.21,4.08,0.71,0.34,564,38.0,39.0,d,e/u,d,e/u,"2574.21, 202.37","3436.33, 223.66",93.0,11.70058615,0.664135,0.763976,1,0.0262
