id,ORCH_1_Dstop(%),ORCH_1_Drestart(%),ORCH_1_Fstop(%),ORCH_1_Frestart(%),PSCS__TAU(%),HUM_1_VEL(%),HUM_2_VEL(%),HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X(%),HUM_1_POS_Y(%),HUM_2_POS_X(%),HUM_2_POS_Y(%),ROB_1_VEL(%),ROB_1_CHG(%)
640,0.013364974714147238,0.06321765276499178,0.4644529096964703,0.6956323919826208,0.0,0.11381479612227921,0.12706056531171542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5068038864812623,0.0
641,0.16951018986566843,0.43865714263085015,0.0032223926198652695,0.18801642236931737,0.0022222222222222222,0.027220748897178737,0.33262718330504776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13084752058765484,3.288461538494182e-05
642,0.04814112006411442,0.8874893200310234,0.4403066472629505,0.6699491660359903,0.0,0.1306499267351439,0.09187789861651449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045407893318932836,0.0
643,0.04849663435092459,0.13972962563405567,0.06383097365196636,0.2369714150707494,0.0,0.06286665913217117,0.35075302095814026,1.0,1.0,1.0,0.0,0.0,2.0,0.00017045454545454547,0.000299999999999964,0.005302272727272711,0.008449999999999989,0.19227640095596002,0.1368184076923083
644,0.13041711609816495,0.32080660769718766,0.5975072912035679,0.34872063635690487,0.0,0.010583173682289474,0.10774825649671596,0.0,0.0,1.0,1.0,0.0,1.0,0.001747727272727272,0.007650000000000006,0.001979545454545463,0.0012166666666666495,0.1251654144655646,0.7049832538461542
645,0.4943331356867805,0.33419149562181916,0.26543768031823006,0.5494932196686739,0.0,0.08609927325035968,0.17695789811152055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3266128587219723,0.0
646,0.8667924493230419,0.09656549430036084,0.23833642721202655,0.7427139879267716,0.0,0.325364891090255,0.17907200732831113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7590430679688536,0.0
647,0.0037758013025939617,0.2162715270468542,0.39884012055099904,0.07657172391003884,0.0,0.825882959930725,0.34383413903219345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6936132885094742,0.0
648,0.24982541618569024,0.017991102950382042,0.56683736908528,0.03202476864391827,0.0,0.3463333661992095,0.11149649395821432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5038006021593576,0.0
649,0.5097134760964483,0.04056853824554683,0.7695818040641077,0.016881386975215646,0.0022222222222222222,0.11723474581340737,0.8138121477899862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2871002356838728,2.818461538412773e-05
650,0.008462101378439257,0.1801278685312054,0.06398608784825084,0.045548574430536996,0.0,0.36876654422188804,0.5100636798142145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18728867343603234,0.0
651,0.2770388608658688,0.2099527367093236,0.5906664467174748,0.7572319283252036,0.0,0.22125355378418224,0.11137004367920993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32653696630887563,0.0
