PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS
0.0,6.7,3.12,0.73,0.3,135.0,39.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,2016.6,417.93,1559.79,221.11,80.0,12.20201329,0.13687504658333344
5.0,6.21,3.36,0.62,0.2,1.0,51.0,64.0,2.0,1.0,0.0,2.0,0.0,0.0,2672.0,192.59,2857.59,200.51,78.0,11.50954493,0.10545389200000008
5.0,6.87,3.35,0.59,0.3,170.0,59.0,59.0,0.0,1.0,1.0,2.0,1.0,0.0,2770.91,190.56,2876.2,198.24,76.0,12.19912448,0.12302830600000013
0.0,5.05,3.94,0.65,0.34,274.0,64.0,53.0,2.0,1.0,0.0,2.0,1.0,0.0,1531.03,480.75,297.23,200.72,91.0,11.55411329,0.4010811936666665
5.0,6.01,3.44,0.77,0.24,183.0,46.0,80.0,0.0,1.0,0.0,2.0,0.0,2.0,2692.3,177.57,2868.0,193.51,40.0,11.68118876,0.08710940800000001
3.0,5.71,4.34,0.66,0.26,98.0,28.0,67.0,2.0,0.0,0.0,2.0,1.0,2.0,465.57,182.0,2932.81,195.54,42.0,12.31120974,0.04907230000000001
0.0,5.59,4.24,0.51,0.32,336.0,75.0,87.0,0.0,0.0,2.0,0.0,1.0,1.0,1972.4,260.47,1597.98,306.47,53.0,11.40078403,0.06795144383333325
0.0,6.39,3.21,0.61,0.27,242.0,90.0,78.0,1.0,1.0,2.0,1.0,0.0,0.0,326.88,162.15,4004.57,246.63,75.0,11.7095537,0.14643515616666683
0.0,5.21,4.08,0.71,0.34,564.0,38.0,39.0,1.0,1.0,0.0,2.0,1.0,0.0,2574.21,202.37,3436.33,223.66,93.0,11.70058615,0.641678218333333
0.0,7.301887126,4.135586002,0.7388950729,0.1874173394,291.0,87.44208866,82.17308581,1.0,0.0,2.0,2.0,1.0,0.0,139.62,401.64,1959.25,253.99,50.90695934,11.47098319,0.3098545538333331
5.0,5.97,3.44,0.76,0.14,462.0,74.0,63.0,2.0,0.0,1.0,1.0,1.0,2.0,2713.85,193.87,2911.47,195.6,79.0,11.94017076,0.14868512025000016
0.0,7.05,2.12,0.74,0.33,186.0,75.0,35.0,2.0,0.0,0.0,2.0,1.0,0.0,3138.2,228.91,1217.09,746.95,32.0,12.14183008,0.13766187991666679
2.0,6.46,3.1,0.7,0.31,94.0,65.0,70.0,2.0,1.0,1.0,1.0,0.0,2.0,401.35,199.96,1831.94,174.66,83.0,11.3707394,0.05007621750000001
2.0,5.41,3.39,0.67,0.11,92.0,32.0,30.0,2.0,1.0,1.0,0.0,1.0,0.0,817.12,209.57,2504.14,199.66,60.0,11.21449778,0.1201163946666668
0.0,7.12,3.68,0.6,0.23,192.0,37.0,85.0,0.0,0.0,0.0,0.0,0.0,2.0,2974.93,410.44,3634.84,277.1,61.0,12.2472905,0.09505888174999998
0.0,6.94,2.46,0.64,0.2,628.0,45.0,83.0,2.0,1.0,1.0,0.0,0.0,1.0,2775.41,236.2,2190.72,647.18,76.0,11.23035416,0.1468652540000002
0.0,7.12,3.68,0.6,0.23,578.0,37.0,85.0,0.0,0.0,0.0,0.0,0.0,2.0,2974.93,410.44,3634.84,277.1,61.0,12.36176512,0.30936780159523813
0.0,6.38,2.79,0.6,0.19,526.0,86.0,63.0,0.0,0.0,1.0,2.0,1.0,1.0,1889.35,340.61,631.28,692.81,75.0,11.53805287,0.1285209803333335
1.0,7.01,2.83,0.62,0.11,110.0,22.0,52.0,2.0,0.0,0.0,0.0,1.0,1.0,419.22,199.33,1140.8,194.22,70.0,11.49312296,0.05007621750000001
0.0,7.42,2.81,0.72,0.16,232.0,78.0,76.0,1.0,0.0,2.0,2.0,1.0,2.0,314.92,157.46,2292.61,482.03,42.0,11.31400422,0.30439848799999975
0.0,5.91,3.66,0.72,0.16,246.0,81.0,83.0,2.0,0.0,0.0,1.0,1.0,0.0,267.3,157.62,4377.75,457.08,79.0,11.79968971,0.12173247016666677
0.0,6.39,3.21,0.61,0.27,121.0,90.0,78.0,1.0,1.0,2.0,1.0,0.0,0.0,245.91,122.83,4004.57,246.63,75.0,11.67338544,0.1435086531666668
0.0,7.38,2.75,0.59,0.3,250.0,39.0,74.0,0.0,1.0,0.0,1.0,0.0,0.0,1853.71,166.59,755.82,276.56,41.0,11.2806308,0.2295721005714285
0.0,6.23,3.85,0.55,0.21,513.0,42.0,96.0,2.0,1.0,0.0,2.0,1.0,1.0,2737.48,327.36,1231.01,749.07,67.0,11.97728287,0.19894829488888877
0.0,6.67,2.59,0.76,0.18,144.0,58.0,76.0,0.0,0.0,2.0,1.0,1.0,1.0,1913.61,326.97,825.52,691.49,69.0,11.35857658,0.05125961200000001
0.0,5.65,3.24,0.71,0.27,100.0,86.0,80.0,0.0,0.0,1.0,1.0,0.0,0.0,327.0,161.77,4200.11,792.34,85.0,11.63123172,0.5496621834999997
4.0,6.26,2.38,0.77,0.39,156.0,72.0,59.0,0.0,1.0,2.0,2.0,0.0,0.0,2111.92,181.54,2909.87,195.39,92.0,12.18507066,0.5879878553333329
5.0,5.97,3.44,0.76,0.14,231.0,74.0,63.0,2.0,0.0,1.0,1.0,1.0,2.0,2594.32,190.47,2839.13,209.03,79.0,11.8732674,0.07802187049999997
0.0,6.23,3.65,0.64,0.17,329.0,38.0,98.0,0.0,0.0,0.0,0.0,1.0,2.0,1427.61,714.67,1495.42,387.52,33.0,12.138974,0.09960648758333333
0.0,6.36,3.68,0.5,0.15,273.0,42.0,98.0,1.0,0.0,2.0,2.0,0.0,0.0,4377.5,337.95,2412.61,597.02,70.0,11.80190255,0.15676288800000013
0.0,7.27,3.92,0.51,0.36,502.0,75.0,93.0,2.0,1.0,1.0,0.0,0.0,2.0,3400.55,234.86,1633.8,357.55,52.0,12.35844417,0.4396207330833331
0.0,7.17,3.62,0.71,0.16,221.0,69.0,60.0,0.0,0.0,0.0,2.0,0.0,2.0,403.29,171.22,1596.1,315.44,33.0,12.19211041,0.21570912891666663
0.0,6.25,2.45,0.64,0.17,1.0,91.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,310.72,131.25,618.66,271.69,45.0,12.12544735,0.12078280711904776
0.0,6.09,2.93,0.69,0.2,661.0,72.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,3648.55,292.68,2405.18,406.77,34.0,12.2023861,0.17578041950000006
0.0,7.23,4.3,0.66,0.24,503.0,61.0,46.0,0.0,1.0,0.0,1.0,0.0,1.0,128.43,521.68,158.09,205.08,98.0,12.08801127,0.509501939
0.0,5.91,3.66,0.72,0.16,246.0,81.0,83.0,2.0,0.0,0.0,1.0,1.0,0.0,267.3,157.62,4377.75,457.08,79.0,11.79967569,0.12173247016666677
0.0,7.41,3.84,0.78,0.14,345.0,86.0,72.0,1.0,1.0,0.0,2.0,0.0,1.0,268.18,133.1,3541.71,676.44,42.0,11.63694407,0.3436336784999996
4.0,5.94,4.09,0.55,0.34,206.0,95.0,73.0,2.0,0.0,1.0,1.0,0.0,2.0,2865.39,191.72,2906.42,194.69,44.0,11.32374512,0.04907230000000001
5.0,6.23,3.85,0.55,0.21,171.0,42.0,96.0,2.0,1.0,0.0,2.0,1.0,1.0,2924.05,196.39,2828.56,193.77,67.0,11.87518638,0.13266526350000016
0.0,6.29,2.76,0.79,0.16,337.0,65.0,57.0,1.0,1.0,1.0,1.0,0.0,1.0,325.88,158.79,4338.47,298.47,31.0,11.525585,0.13939116766666682
